quant,ctx,kv,model,memory_used_mib,memory_percent,kv_main_mib,kv_draft_mib,kv_total_mib,prompt_n,prompt_ms,prompt_tps,pred_n,pred_ms,gen_tps,draft_n,draft_accept,accept_rate,status,log_file
IQ4_XS,32768,q8_0,C:\modelos\Qwen3.8-27B-UD-IQ4_XS.gguf,15705,96.3,1088.00,128.00,1216,36,388.22,92.73,70,1328.818,52.68,65,47,72.3,OK,C:\Temp\bench\bench_IQ4XS_32768_q8_0.log
IQ4_XS,45056,q8_0,C:\modelos\Qwen3.8-27B-UD-IQ4_XS.gguf,15860,97.2,1496.00,176.00,1672,36,379.557,94.85,70,1536.75,45.55,63,48,76.2,OK,C:\Temp\bench\bench_IQ4XS_45056_q8_0.log
IQ4_XS,50000,q8_0,C:\modelos\Qwen3.8-27B-UD-IQ4_XS.gguf,15750,96.6,1666.00,196.00,1862,36,1292.124,27.86,70,6510.974,10.75,77,43,55.8,COLLAPSE_GEN,C:\Temp\bench\bench_IQ4XS_50000_q8_0.log
IQ4_XS,64000,q8_0,C:\modelos\Qwen3.8-27B-UD-IQ4_XS.gguf,15841,97.1,2125.00,250.00,2375,36,1399.03,25.73,70,7094.657,9.87,71,45,63.4,COLLAPSE_GEN,C:\Temp\bench\bench_IQ4XS_64000_q8_0.log
IQ4_XS,32768,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ4_XS.gguf,15105,92.6,576.00,128.00,704,36,326.185,110.37,70,1515.735,46.18,73,44,60.3,OK,C:\Temp\bench\bench_IQ4XS_32768_q4_0.log
IQ4_XS,64000,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ4_XS.gguf,15865,97.3,1125.00,250.00,1375,36,344.257,104.57,70,1673.766,41.82,76,42,55.3,OK,C:\Temp\bench\bench_IQ4XS_64000_q4_0.log
IQ4_XS,80000,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ4_XS.gguf,15842,97.1,1408.50,313.00,1721.5,36,333.646,107.90,70,1694.025,41.32,73,44,60.3,OK,C:\Temp\bench\bench_IQ4XS_80000_q4_0.log
IQ4_XS,90000,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ4_XS.gguf,15854,97.2,1584.00,352.00,1936,36,335.619,107.26,70,1512.681,46.28,65,47,72.3,OK,C:\Temp\bench\bench_IQ4XS_90000_q4_0.log
IQ4_XS,100000,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ4_XS.gguf,15856,97.2,1759.50,391.00,2150.5,36,1560.541,23.07,70,8483.628,8.25,62,48,77.4,COLLAPSE_GEN,C:\Temp\bench\bench_IQ4XS_100000_q4_0.log
IQ3_XXS,32768,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,12060,73.9,576.00,128.00,704,36,498.322,72.24,70,1218.549,57.45,61,48,78.7,OK,C:\Temp\bench\bench_IQ3XXS_32768_q4_0.log
IQ3_XXS,64000,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,12888,79,1125.00,250.00,1375,36,473.657,76.00,70,1224.266,57.18,63,48,76.2,OK,C:\Temp\bench\bench_IQ3XXS_64000_q4_0.log
IQ3_XXS,100000,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,13882,85.1,1759.50,391.00,2150.5,36,562.641,63.98,70,1577.585,44.37,79,42,53.2,OK,C:\Temp\bench\bench_IQ3XXS_100000_q4_0.log
IQ3_XXS,131072,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,14736,90.3,2304.00,512.00,2816,36,448.573,80.25,70,1687.991,41.47,81,40,49.4,OK,C:\Temp\bench\bench_IQ3XXS_131072_q4_0.log
IQ3_XXS,148000,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,15206,93.2,2605.50,579.00,3184.5,36,432.206,83.29,70,1398.331,50.06,71,45,63.4,OK,C:\Temp\bench\bench_IQ3XXS_148000_q4_0.log
IQ3_XXS,150000,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,15254,93.5,2637.00,586.00,3223,36,446.231,80.68,70,1296.281,54.00,65,47,72.3,OK,C:\Temp\bench\bench_IQ3XXS_150000_q4_0.log
IQ3_XXS,160000,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,15528,95.2,2812.50,625.00,3437.5,36,418.664,85.99,70,1227.064,57.05,63,48,76.2,OK,C:\Temp\bench\bench_IQ3XXS_160000_q4_0.log
IQ3_XXS,170000,q4_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,15808,96.9,2992.50,665.00,3657.5,36,6246.479,5.76,70,1225.03,57.14,60,48,80,COLLAPSE_PROMPT,C:\Temp\bench\bench_IQ3XXS_170000_q4_0.log
IQ3_XXS,32768,q8_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,12590,77.2,1088.00,128.00,1216,36,434.773,82.80,70,1499.871,46.67,78,43,55.1,OK,C:\Temp\bench\bench_IQ3XXS_32768_q8_0.log
IQ3_XXS,64000,q8_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,13902,85.2,2125.00,250.00,2375,36,412.226,87.33,70,1224.721,57.16,62,48,77.4,OK,C:\Temp\bench\bench_IQ3XXS_64000_q8_0.log
IQ3_XXS,100000,q8_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,15452,94.7,3323.50,391.00,3714.5,36,427.369,84.24,70,1218.635,57.44,60,48,80,OK,C:\Temp\bench\bench_IQ3XXS_100000_q8_0.log
IQ3_XXS,110000,q8_0,C:\modelos\Qwen3.8-27B-UD-IQ3_XXS.gguf,15860,97.2,3655.00,430.00,4085,36,6294.108,5.72,70,1300.861,53.81,63,47,74.6,COLLAPSE_PROMPT,C:\Temp\bench\bench_IQ3XXS_110000_q8_0.log
